,SHOPKEEPER_SPEECH,SHOPKEEPER,SPATIAL_STATE,CLUSTER_ID,TYPICAL_VECTOR,INTRACLUSTER_DISTANCE,TSS,IS_BAD_CLUSTER
2140,"Yes we do we have two kinds of cameras where you can change the lenses, this camera is the new sony model, you can put lenses on it, it's designed for lightweight travel and high-end Photography, over here we have the top end photojournalism camera, the Canon 5d mark 3, can I have what sort of lenses you have it on",PROACTIVE,PRESENT_X;SONY,72;PRESENT_X;SONY,-,0.4010379389,,-
2341,it also limits the kind of lenses you can use the that's the nature of underwater photography,PROACTIVE,PRESENT_X;SONY,72;PRESENT_X;SONY,-,0.4010379389,,-
2283,this is designed to be a good lightweight travelling camera takes beautiful pictures almost as good as in camera and you can change the lenses on it as well. is that the kind of thing you use to have,PROACTIVE,PRESENT_X;SONY,72;PRESENT_X;SONY,*,0.4010379389,,-
3944,this one has 6400 ISO with very little noise so you can take pictures in the dark,PASSIVE,NONE;CANON,730;NONE;CANON,*,,,-
3035,thank you so much,PASSIVE,PRESENT_X;NIKON,731;PRESENT_X;NIKON,-,0.6929771602,,-
3834,thank you,PASSIVE,PRESENT_X;NIKON,731;PRESENT_X;NIKON,-,0.6929771602,,-
3880,thank you,PASSIVE,PRESENT_X;NIKON,731;PRESENT_X;NIKON,*,0.6929771602,,-
1533,thank you very much,PROACTIVE,PRESENT_X;NIKON,731;PRESENT_X;NIKON,-,0.6929771602,,-
2917,if you need any more help let me know,PASSIVE,WAITING;NONE,732;WAITING;NONE,*,0.9139327705,,-
2903,Ok ask me if you need any more help,PASSIVE,WAITING;NONE,732;WAITING;NONE,-,0.9139327705,,-
